HGNC ID	Approved symbol	Approved name	Status	Locus type	Previous symbols	Alias symbols	Chromosome	NCBI Gene ID	Ensembl gene ID	Vega gene ID	Group ID	Group name
HGNC:5235	HSPA2	heat shock protein family A (Hsp70) member 2	Approved	gene with protein product			14q23.3	3306	ENSG00000126803	OTTHUMG00000141311	583	Heat shock 70kDa proteins
HGNC:5237	HSPA4	heat shock protein family A (Hsp70) member 4	Approved	gene with protein product		HS24/P52, HSPH2	5q31.1	3308	ENSG00000170606	OTTHUMG00000129012	583	Heat shock 70kDa proteins
HGNC:17041	HSPA4L	heat shock protein family A (Hsp70) member 4 like	Approved	gene with protein product		APG-1, Osp94, HSPH3	4q28.1	22824	ENSG00000164070	OTTHUMG00000133302	583	Heat shock 70kDa proteins
HGNC:5238	HSPA5	heat shock protein family A (Hsp70) member 5	Approved	gene with protein product	GRP78	BiP	9q33.3	3309	ENSG00000044574	OTTHUMG00000020672	583	Heat shock 70kDa proteins
HGNC:5239	HSPA6	heat shock protein family A (Hsp70) member 6	Approved	gene with protein product		HSP70B'	1q23.3	3310	ENSG00000173110	OTTHUMG00000034461	583	Heat shock 70kDa proteins
HGNC:5240	HSPA7	heat shock protein family A (Hsp70) member 7 (pseudogene)	Approved	pseudogene		HSP70B	1q23.3	3311	ENSG00000225217	OTTHUMG00000074098	583	Heat shock 70kDa proteins
HGNC:5241	HSPA8	heat shock protein family A (Hsp70) member 8	Approved	gene with protein product	HSPA10	HSC71, HSC70, HSP73	11q24.1	3312	ENSG00000109971	OTTHUMG00000166030	583	Heat shock 70kDa proteins
HGNC:5244	HSPA9	heat shock protein family A (Hsp70) member 9	Approved	gene with protein product	HSPA9B	GRP75, PBP74, mot-2, mthsp75	5q31.2	3313	ENSG00000113013	OTTHUMG00000129206	583	Heat shock 70kDa proteins
HGNC:16969	HSPH1	heat shock protein family H (Hsp110) member 1	Approved	gene with protein product		HSP105B, KIAA0201, HSP105A, NY-CO-25	13q12.3	10808	ENSG00000120694	OTTHUMG00000016685	583	Heat shock 70kDa proteins
HGNC:16931	HYOU1	hypoxia up-regulated 1	Approved	gene with protein product		ORP150, HSP12A, Grp170	11q23.3	10525	ENSG00000149428	OTTHUMG00000166354	583	Heat shock 70kDa proteins
HGNC:5253	HSP90AA1	heat shock protein 90 alpha family class A member 1	Approved	gene with protein product	HSPC1, HSPCA	Hsp89, Hsp90, FLJ31884, HSP90N	14q32.31	3320	ENSG00000080824	OTTHUMG00000171752	586	Heat shock 90kDa proteins
HGNC:5254	HSP90AA3P	heat shock protein 90 alpha family class A member 3, pseudogene	Approved	pseudogene	HSPCAL1		1q23.1	3322	ENSG00000231434	OTTHUMG00000019634	586	Heat shock 90kDa proteins
HGNC:5258	HSP90AB1	heat shock protein 90 alpha family class B member 1	Approved	gene with protein product	HSPC2, HSPCB		6p21.1	3326	ENSG00000096384	OTTHUMG00000014761	586	Heat shock 90kDa proteins
HGNC:12028	HSP90B1	heat shock protein 90 beta family member 1	Approved	gene with protein product	TRA1	GP96, GRP94	12q23.3	7184	ENSG00000166598	OTTHUMG00000170118	586	Heat shock 90kDa proteins
HGNC:16264	TRAP1	TNF receptor associated protein 1	Approved	gene with protein product		HSP75, HSP90L	16p13.3	10131	ENSG00000126602	OTTHUMG00000129427	586	Heat shock 90kDa proteins
HGNC:5246	HSPB1	heat shock protein family B (small) member 1	Approved	gene with protein product		HSP27, HSP28, Hs.76067, Hsp25, CMT2F	7q11.23	3315	ENSG00000106211	OTTHUMG00000023228	585	Small heat shock proteins
HGNC:8113	ODF1	outer dense fiber of sperm tails 1	Approved	gene with protein product		ODFPG, ODF27, RT7, HSPB10, CT133	8q22.3	4956	ENSG00000155087	OTTHUMG00000164719	585	Small heat shock proteins
HGNC:25019	HSPB11	heat shock protein family B (small) member 11	Approved	gene with protein product	C1orf41	HSPCO34, PP25, IFT25, FAP232	1p32.3	51668	ENSG00000081870	OTTHUMG00000008408	585	Small heat shock proteins
HGNC:5247	HSPB2	heat shock protein family B (small) member 2	Approved	gene with protein product		Hs.78846, MKBP	11q23.1	3316	ENSG00000170276	OTTHUMG00000166886	585	Small heat shock proteins
HGNC:5248	HSPB3	heat shock protein family B (small) member 3	Approved	gene with protein product		HSPL27	5q11.2	8988	ENSG00000169271	OTTHUMG00000096995	585	Small heat shock proteins
HGNC:2388	CRYAA	crystallin alpha A	Approved	gene with protein product	CRYA1	HSPB4	21q22.3	1409	ENSG00000160202	OTTHUMG00000086842	585	Small heat shock proteins
HGNC:2389	CRYAB	crystallin alpha B	Approved	gene with protein product	CRYA2	HSPB5	11q23.1	1410	ENSG00000109846	OTTHUMG00000166885	585	Small heat shock proteins
HGNC:26511	HSPB6	heat shock protein family B (small) member 6	Approved	gene with protein product		FLJ32389, Hsp20, PPP1R91	19q13.12	126393	ENSG00000004776	OTTHUMG00000048122	585	Small heat shock proteins
HGNC:5249	HSPB7	heat shock protein family B (small) member 7	Approved	gene with protein product		cvHSP	1p36.13	27129	ENSG00000173641	OTTHUMG00000009531	585	Small heat shock proteins
HGNC:30171	HSPB8	heat shock protein family B (small) member 8	Approved	gene with protein product		H11, E2IG1, HSP22, CMT2L	12q24.23	26353	ENSG00000152137	OTTHUMG00000168932	585	Small heat shock proteins
HGNC:30589	HSPB9	heat shock protein family B (small) member 9	Approved	gene with protein product		CT51	17q21.2	94086	ENSG00000260325	OTTHUMG00000133500	585	Small heat shock proteins
